"","x"
"11051","so i contacted my bank they took the money out today i also contacted they said my reservation is"
"11052","appreciate the calls when flights delayed but the recorded msg is tedious amp just goes on amp on i vote for texts if practical"
"11053","horrible communication on delayed flight out of lga i gotemails in seconds w different delay times horrible"
"11054","thank you finally got our bag customer services reps were wonderful"
"11055","have a pm flight out of phl satsnow expected are we able to switch to an earlier flight without penalty"
"11056","we got our bags today thanks"
"11057","min hold time then a hang up by manager mike in dividend miles dept tough to justify sticking with the us air cc and status"
"11058","never fails to disappoint"
"11059","platinum flyer bought tkt in aa also both accounts are linked so why cant i check in for flight tomorrow"
"11060","your person taking tickets is rude and now we are delayedminutes because you overfilled fuel on the plane"
"11061","flight out of seattle has too much fuel and no water for the lavoratories nice job guysest min behind now"
"11062","flight phxgtordlead fa bill is the most professional fa i have seen inyears of flying usair i have no ab cards"
"11063","i miss you too work has taken me out of philly i‚Äôve been on flight from bos ‚Äîgt phl so many times i should have a res seat"
"11064","vueloes vueloses sell too cheap madnyc with usairways are they trusted webs or is it a scam"
"11065","total lack of cust service for a mom flying solo w baby will not be flying w am air again"
"11066","pure anarchy on flight to slc people walking in with nothing packed in bags with arms full of stuff"
"11067","you knowhockey sticks are expensive your baggage handlers shouldnt just be throwing them on the cart"
"11068","no problemthings worked out at airportthanks"
"11069","any word on whether or not flight from seattle to charlotte will have connections held or"
"11070","please change direct flights from ric to jfk instead of lga pleeeeease lga is the pits"
"11071","i tried it but doesnt help very much and reservation seems to be overwhelmed with some issues"
"11072","should take a lesson from and wait for passengers from connecting flights shame"
"11073","do you have a phone nbr for refund dept"
"11074","do you post travel alerts on your website traveling to bdl on sunday morning"
"11075","yes its a domestic flight thank you"
"11076","can i bring a copy or photo of my babys birth certificate for the flight i feel uncomfortable traveling with the real thing"
"11077","would like to see you do similar in phl"
"11078","thanks made it safely"
"11079","they say connections are good stillbut another reflight booking problems is the last thing i need today"
"11080","tells me to talk to about my delayed flights aa tells me to talk to us"
"11081","what is the holdup should i be looking for another flight"
"11082","this is going to take up to an hournot okay usair not okay this is ruining everything"
"11083","delayed further"
"11084","min hung up always awful having to call reservations there"
"11085","i guess from now on i should take my chances amp keep thefor the courtesy free because it seems cabin is always full"
"11086","hours late flightr and i lost my conection ˇò"
"11087","just heard airport was closed due to thick fog any updates"
"11088","over min hold on your reservation line embarrassing aa platinum member"
"11089","love the changes in the loungecheese veggies olives in addition to the crackers and snack mix"
"11090","thanksif you have another method also that would be niceappears to be a design flaw"
"11091","yesevery one of these on every flight is like thisthere needs to be more velcro or something"
"11092","please secure the footrest shelf in business class on airplanes"
"11093","forgetting to fuel up realizing there was more cargo to add to plane one way to try and mask a delay"
"11094","your gate team are polite but your planes are habitually late flight in many cases passengers are waiting for the flight crew"
"11095","fuk u us airways with yo shitty chicken salad sandwich that so overpriced and u fuking make me wait in ahr layover fuk u and"
"11096","for that uncertainty i know u run an account u dont create policy but its an undue penalty for a job reqing flexibility"
"11097","is thereanyway to get rebook in help on twitter"
"11098","why are you letting us go to the runway if there are mechanical problems"
"11099","wtf is going on with thefrom dc to bos twice we go back back to the gate after leaving for the runway total bs"
"11100","not moving we are in the tarmac delayed for some unknown reason ill keep you posted"
"11101","i keep missing my updated connections need to make it to to be in my friends wedding"
"11102","how are you guys losing luggage when it was suppose to be on the same flight i was on highly disappointed no meds no clothes"
"11103","wanted to connect to discuss sponsorship opportunities withsilicon valleys onlyday film festival"
"11104","poor excuse i was towards front of plane no sandwiches we have to pay for them should have more"
"11105","im not patient im annoyed if you cant book this travel online then you shouldnt make people wait on the phone"
"11106","us airways csr at phoenix airport fixed the problem"
"11107","still in yuma waiting for to go looks like i might miss to montereyregionalairport need options please"
"11108","‚Äú thanks for your feedback alan‚Äù thx butno help as i watch a flt lve wopen seats and i wait hrs for nxt flt"
"11109","i dont think the us site allows that unlikecan i use a us credit if i held on"
"11110","lol me too"
"11111","still waiting on a response"
"11112","who do i call to use credit fm prev cxl tix that cant be rebooked onlinerep i called quoted me k higher than the website"
"11113","so basically i am stuck paying for hidden fees and being bumped to an inferior flight jetblue here i come"
"11114","how will i change it"
"11115","oh the irony a dog who will not spot barking in waiting area is now right in front of me please send me a cocktail coupon stat"
"11116","when is us air switching to aa ios app aa app is much better"
"11117","achange is ok most of the time but if there r open seats on earlier flt and no chkd bag why not let someone fly standby"
"11118","thanks to the gate agent in state college pa that was able to get me on an earlier flight and figure out an earlier connection"
"11119","i just think its weird to have mileage as"
"11120","flight clt to bos"
"11121","some of mykids are anxious husband and i cant sit with allwith current setup no warning that ourseats changed"
"11122","but you guys switched me and didnt inform me of the chathes"
"11123","worst airline everleft without luggage fordays submit expenses and they offer a refund of"
"11124","your app is bad and you should feel bad"
"11125","still irritated that our well planned and booked return was messed with amp with no warning"
"11126","iscompanion ticket benefit of premier world mastercard still limited to usairways flights or do aa now qualify as well"
"11127","is probably losing a family of world travelers as customers due to broken processes i hope you can fix it"
"11128","only for one flight though the nd leg my kids are sitting scattered about the aircraft"
"11129","yes thanks i have never seen anything like this and i come to yuma all the time big disappointment there arestill waiting"
"11130","you will be hearing a lot more from me instead of your feedback when i get back home"
"11131","has the most ass backwards process for using credits on flights even trying to get a hold of customer relations is impossible"
"11132","will you be destroying lives in eastern during this lively little event for profits you will"
"11133","hour cross country morning flight and you have no food"
"11134","been with us airways sinceback and forth gatwickcharlotte then lhr bit sad nostalgic way"
"11135","understood and i am sympathetic how do i get my back i shouldnt have to pay especially if you switched my flight"
"11136","we bought our tickets months ago had seats together for allhavent changed flight nowkids seats are scattered on plane"
"11137","person to check inpeople and the plane boards inminutes and he is telling people exec benes not honored"
"11138","no problemjust funny have a nice day"
"11139","yes travel is complete flight from clt to cak feb"
"11140","cancelled flightled due to maintenance the plane was there forhours get your shit together because there are a lot of people unhappy"
"11141","a year and every time with us air something happens i sat waiting for a rescheduled flight forhours then to say its"
"11142","was switched to an american airlines flight not by choice and now i am chargedfor bags thought yall merged"
"11143","my flight cost me just under and this is what happens i fly with and have no problems i come the ustimes"
"11144","even airlines are scheming to get a follow from obj lmaooo ˇòÇˇòÇˇòÇˇòÇ"
"11145","no i got to philly on monday and got to my final destination south carolina on wednesday its not acceptable"
"11146","over an hour now and still no one at the yuma counter"
"11147","can you dm me amp add me to the upgrade list for a flt tonight"
"11148","now you have overpeople in line this is stupid what the heck"
"11149","some people in line have been waitingminutes for a customer service representative"
"11150","i feel sorry for aa"
"11151","there has been no one at the yuma ticket counter forminutes and there are aboutpeople in line terrible service"
"11152","‚Äú reminder fromwe‚Äôll be tweeting fromÄùrt i look ward to that follow back too"
"11153","what an amazing day delayedhrs bc frozen ho on plane now sittinggate on same planemins still waiting"
"11154","the end rtreminder fromwe‚Äôll be tweeting fromyou should join us"
"11155","stuck in philadelphia airport forhours due to maintenance dreading my flight back home disgusting"
"11156","ill sincerely regret dividend miles good things coming to an end"
"11157","thanks"
"11158","‚Äú reminder fromwe‚Äôll be tweeting fromyou should join us"
"11159","thanks for telling me my flight was on time when the plane was broken youre an inferior airline"
"11160","just so you know who to complain tortreminder fromwe‚Äôll be tweeting from"
"11161","for frequent flyer miles can we schedule interchangeably and get credit"
"11162","ive called to resolve my dividend miles issue for a week to no availplease advise asap"
"11163","they finally answered they were rude and didnt help me at all"
"11164","no dont leave me"
"11165","made flightplease thank the crew of great time recovery"
"11166","i have d and d embossed badges and patches superior to the ones you are currently using"
"11167","so far so good this week sav to clt boarded before the departure time first time inweeks perhaps an on time departure"
"11168","is this accurate safety guide shown no mp player usage during takeoff and landing"
"11169","ive been on hold formins and counting cause you charged my credit card for bag but provided no receipt and said error awful"
"11170","i have a party ofbooked for a flight in aug at am how can i find out how much it would cost to change to an earlier fl"
"11171","still sitting here feels badly handled"
"11172","lilly m in sju check in is fabulous"
"11173","was just on hold with you all for two hours and then got hung up on oh my god"
"11174","on phone hold formins trying to speak to an agent cant change reservation online sigh"
"11175","thats where we are now thank you"
"11176","ive been on a music hold for over a hour trying to get my aadvantage membership merged can someone please call me asap"
"11177","flight was fullopen middle seatdid not want to sit therewhat is your policy"
"11178","my daughter candice and i are together with her baby"
"11179","sorry i meant flightwhich was supposed to depart atnow sayswhat is the issue"
"11180","how about moving my seats to where i bought themmonths ago this happens far too often"
"11181","if you could change your name to and do what they dothatd be awesome also this plane smells like onion rings"
"11182","every day"
"11183","whats the issue with flight from jax being delayed tonight"
"11184","got rebooked sent to a wrong gate traveled back to b for correct flight ampfrustrated"
"11185","if youve got room on an earlier flight home why charge meto get on it be the hero"
"11186","question is will he and his lady behave"
"11187","on the dl send ethan some new pants and some white revive laundry tabs hes a great guy good crew hes just err single"
"11188","any updates on flight from philly to labeen sitting at gate for close tohours"
"11189","will these prices be honored ive waited thishours on hold to make sure i can still get the prices i originally started"
"11190","thank you for refunding my bag feei look forward to its return today i hope"
"11191","whats happening with phl to lax nowhr delay poor communication"
"11192","will be stuck in phx overnightservice is getting worseflying southwest from now on"
"11193","left us had to stay on other flight until they got bags off this sucks had to run with a baby and bags"
"11194","ˇòÇ passed frustratedhours ago after being asked to get off the first plane i sat on for an hour"
"11195","thank you"
"11196","another bad experience todayfrozen pipes onmissing connection"
"11197","of course yeah travel has gotten harder ask other passengers if they will switch its not the fact its the attitude"
"11198","skys r sunny air is cold i cant wait to get to"
"11199","never imagined it would be so hard to spend money through us air stubbornly hoping someone will come back to the phone"
"11200","found great prices thru us air for honeymoon website wont work and been on hold for more than a hour now after being toldmin"
"11201","we on on the flight from phf to clt at the terminal but cant get off plane yet need to get on iah flight"
"11202","can we hold two seats forflight from phx to las as this delayed flight is not going to arrive ontime"
"11203","im a chairman who was in st class on both my flights today system cancelled flightled my tickets and kicked me out of st"
"11204","ive been on hold forminutes just to get a receipt i know you guys are busy but i think its time to higher more staff"
"11205","thanks for thehour layover in la tooˇëç icing on the cake at least your staff was courteous and helpful not"
"11206","yeahi have been expecting the same forhours"
"11207","i wish i was flyingcancelled flightled our flights tomorrow and never notified us"
"11208","mphx im still on the plane waiting and waiting"
"11209","im trying to merge my freq flyer accts but keep getting an error message and only a machine when calling theprovided help"
"11210","our hold up now is the captain that was late flighthis bag doesnt fit"
"11211","thats it"
"11212","thanks for slowing the inbound plane down so that we didnt need to worry about eyw being late flight great holz ahead cheers ˇòÄ"
"11213","they had to turn the seat cushions over and clean the area please explain this issue"
"11214","my booked seat ended up being the last row which was labeled do no occupy had to play musical chairs formins unacceptable"
"11215","phone support rebooked but orig flt was late flight made it"
"11216","kudos to your phone support and charlotte gate staff"
"11217","lets say its directly correlate flightd to the chance of a replacement case i know which would cost the airline less"
"11218","i do to as i have an afternoon conference in las vegas and i would rather plan ahead than run thru the airport and then attempt"
"11219","will try now stuck on tarmac waiting on gatemay missconnection"
"11220","i thought about moving a lot of business over too but first impressions count glad it was miles and not cash"
"11221","any chance of making"
"11222","on flightdelayedhelp for flighthelp via email"
"11223","hey just letting you know youre the worst fucking service ive ever used thanks for nothing"
"11224","flight us from to passing over at ft this morning"
"11225","ok she is worried that something is wrong with the flightand should she consider flying earlier"
"11226","partofshe tried calling cust serv and the system hung up and her twice are you having system issues please advise"
"11227","my wife is trying to check in for a flight tonight out of rswwebsite not allowing saying must go to airport partof"
"11228","lol thanks to you we had to switch to american"
"11229","preciate it but cant get off plane to speak w agentwont come on plane knoxville"
"11230","good ideasshe is traveling todayat airportneed to petition faa regarding sillyname change rule"
"11231","res went under her maiden namemarried no docs with maiden namehence problem"
"11232","just called reservationscannot change just able to put note on resproblem is tsa"
"11233","im delayed in tyslikely gonna miss my connection in clt to cun gotta get there today can you help me"
"11234","plz plz plz hold to eyw the phl gtclt is sooo late flight gonna miss the connection for s th"
"11235","btw not upset at usaiways promise"
"11236","i hate you"
"11237","it is the same passenger just her maiden name ended up as last name through online flight booking problemsyes understand non transferable"
"11238","understood and so does us airwaysgetting through tsa is the problem"
"11239","i paid for my seati expect to be able to use my full seat"
"11240","if a passenger is to large to put down the armrest and now is using part of my seat what is my recourse"
"11241","so i was just told i was coded as an upgrade i clearly purchased this seat with my miles and refuse to downgrade"
"11242","the gate agent said its booked in full sorry i had a ticket with a st class seat i will call customer service when i land"
"11243","empty st class chairman cant move up duesilly award travel rule trumping common sensecustomer service fail again"
"11244","can they change to correct last name did via reservations already but said cant change ticket name"
"11245","youre the only airline thats not open sooner its not a confidence booster"
"11246","checked in last nightairport by supervisor w boarding pass for aboarding today seat changed to f how does that happen"
"11247","new problemhad wrong last name on reservation which is airways fixed new cant get through tsa"
"11248","cardholder is flyingwe both have us airways and advantage cards which is more frustrating"
"11249","i received a brochure in the mail touting all the benefits of the advantage card with usa now mergedbaggage included"
"11250","if i paid for ticket with advantage world executive card do i pay baggage fees when flying us airways wife traveling now"
"11251","this has been the worst trip with little to no customer service"
"11252","testing my patience this evening or shall i say morning we waited an hour at the gate for you to find a gate agent"
"11253","flying from manchester international to philadelphia and getting emails about delays no information about connecting flights"
"11254","thank youto cincyjust landedyou should add frequent flyer miles to my accounta long incredibly frustrating day"
"11255","no other than being on my credit card statement i have not received anything from you and so i have no way to look it up myself"
"11256","i waited on hold for too long i shouldnt have to wait on hold forever when i never received a confirm in the st place"
"11257","been dealing w to solve the probs your team created your manch nh staff is clearly your cteam btw"
"11258","will do"
"11259","unfortunately i doubt that the consistently subpar service will improve with the merger"
"11260","thank you we filled out a claim and hope to have the bags tomorrow"
"11261","i didnt cancelled flight my flight you did than you loved me to another flight and forgot my bags"
"11262","done"
"11263","i was told my ticket expired buti never recvd any noticebefore it expired this sucksi paid k miles amp for the tckt"
"11264","captain on flight from phxphl attonight was hilarious greetings from the pointy end of the airplane haha thanks"
"11265","just noticed that i dont believe i saw a confirmation for a flight i bought a few weeks ago def paid though"
"11266","worst customer service still not providing me an answer even after i drove back to clt airport been rude amp unacceptable"
"11267","any plans to support on board i have the usairways mc and it would be nice to still use it if i forget the card"
"11268","got through on the phone usair cancelled flightled her return flights because she missed a flight on her way out they took care of it"
"11269","i have run out of patience we are sitting in a bus without air in front of plane and there is no communication from anyonemin"
"11270","delayscancelled flightlations a double layover andhours late flightrcould i at least get extra dividend miles"
"11271","‚Äú we appreciate the for roberto dm your confirmation code so we can forward your kind words‚Äù sent"
"11272","i didnt take my original flight i was suppose to arrive last night than by pm today didnt get in til"
"11273","sitting forminutes on the runway at dca because your gates are full early landing late flight flight"
"11274","let us off this planeplease go to a gatethis is absurd"
"11275","will i get the full amount credited to my account for us airways credit"
"11276","trips in a row with missing luggage just like last time i pay for baggage to be transported"
"11277","lost our luggage"
"11278","i found a flight i want onis my aa advantageapplicable to earn miles on it since youre merging"
"11279","really frustrating to be endlessly waiting at phl for a ground crew to taxi us in at pm at night why is this taking so long"
"11280","thanks for calling me about my p redirected flight at p"
"11281","its just a very bad customer service experience can you help"
"11282","i have been trying to reach dividend milesto extend my ticket for lastdayscalls and i get a message to call back"
"11283","really"
"11284","how does an airline misplace an airline attendant been at reagan airport since pm to cincy is delayed trying to find her"
"11285","my flight finally arrived in charlottethey booked my luggage thru to lga but no room on flight for mewhat a mess"
"11286","been on hold for over an hour still dont know where my bags are wont refund me my flight it wasnt weather"
"11287","no your not"
"11288","my wife had flight changes due to weather now she cant checkin to her return flight and it fails is it possible usair cancelled flightled"
"11289","thank you for fixing myhour delay"
"11290","yupminutes was my limit of waiting on hold so thanks for nothing"
"11291","this is more than having patience this is not acceptable"
"11292","please follow me so i can dm you about something"
"11293","flights in hrs amp ive had the same flight attendant forof those flights freaky coincidence plus side shes great"
"11294","landed safely everything worked out"
"11295","can you explain why i am on hold over an hour other than im dumb and should be using a different airline"
"11296","you used to have an evening flight dcadsm and an early am return now its middle of the work day for both inconvenient"
"11297","delays to the max"
"11298","on sunday cant wait see you then"
"11299","well this is trying to make"
"11300","it shouldnt take longer to get to the gate than the flight itself takesminutes flying timeminutes on runway so far"
"11301","attempting ckin for flight onall day site unable to retrieve detailscalled twice and disconnected"
"11302","emailed them a week ago and still nothing"
"11303","i would be willing to pay anything to change a flight does not help"
"11304","yeah you guys just told me to call the website that i booked from i booked on your website unacceptable"
"11305","still waiting captain reports hes calledtimes to get ground crewand still sitting on runway flightr"
"11306","is the real mvp for holding up the flight connecting philly to tampa"
"11307","finally rectified my flight situation thanks again"
"11308","so what is thedifference between cancelled flighting and reflight booking problemswill that help me avoid a change fee"
"11309","on time today and from phl nice work"
"11310","you have most likely lost my business terrible experience too many times stuck on tarmac and last min cancelled flightled flights"
"11311","i have been doing that all day cant find my bag anywhere bc theyre saying it was never scanned amp technically never left lax"
"11312","why no ground crew at dca when were already late flight arriving flightr"
"11313","being told tough break and this is how it is is unacceptable you cant even tell me when my bags will be here"
"11314","ice cream up front solid"
"11315","shout out to the pilots and fc attendanteliz of ussuper strong crosswinds during landing eliz did a super job throughout"
"11316","now telling me i dont have the correct tag for my luggage my luggage apparently is not in la or charlotte this is not ok"
"11317","your software is broken call customer support is not the fix like i said earlier yell at your developers"
"11318","its not double booked i spoke with cs and weve got a plan to fix this its still an amateur mistake that should never happen"
"11319","is there nothing that can be done online to help i bought these as a birthday present just trying to be able to afford a change"
"11320","hey guys due to some horrible customer service issues is there any way i can get a checked bag credit"
"11321","delayeddays for weather and on top i got yelled at for being late flight when i was not notified of the time change"
"11322","not a great experience for my first time flying us airways going forward ill probably be taking my business elsewhere"
"11323","loosing a lot of business by using barclays i cant believe that you cant apply for a card if you live in iowa"
"11324","i was re accommodated for my dsm flight tonight after a delay from myrtle beach now the flight to dsm is back on for tonight"
"11325","so far ive gotten six different answers"
"11326","oh certainly and now i have two pending transactions on my bank account really happy that i was charged double"
"11327","i got an email asking me to checkin tmrw for a flight i meant to book forcan someone please help"
"11328","whats going on ive been hearing a notfriendly please wait on repeat while im on hold being transferred to idk where"
"11329","the captain turned off the seat belt sign so people can get up and walk aroundthats not good"
"11330","im sorry as well its beenhrs without my bag and i cant get a straight answers im on call for today"
"11331","yall need to work on your online checkout system two bank transactions for one ticket is bush league yell at your devs"
"11332","i wish we were on our way now theres a problem wdeicingthree amphour delay so far amp sill not sure if well be taking off"
"11333","if you could have ran your usexpresspsa worth a damn i wouldnt be stuck in horrible clt now"
"11334","you run a piece of shit airlinethanks for ruining aa"
"11335","‚Äú we appreciate the for roberto dm confirmation code so we can forward ur kind words‚Äù confirmation code"
"11336","finally back on boarddoor was closed only to be reopened because we need fuel you think someone wd have thought of it earlier"
"11337","secondary screenings a piece of the plane missing anything you want to tell us"
"11338","sitting on tarmac in formin no announcement just sitting"
"11339","my tsa precheck isnt showing up on my boarding pass for my flight tomorrowhelp"
"11340","i appreciate that you actually monitor twitter so pleasepass along my feedback ive tried calling abouttimes indays"
"11341","cant help but be frustrated after an hour call with u ends up with a disconnection and no answers especially as div pref member"
"11342","i dont think ive ever had a us airways flight that went smoothly"
"11343","please improve your phone system going through multiple prompts amp menus just to be told to call back late flightrmajor fail"
"11344","once again your service leaves a lot to be desired flight here early but short staffing means we wait on tarmacthanks"
"11345","the late flightr flight to charleston is leaving before the flight scheduled earlierthats so wrong"
"11346","im delayed in cha will miss my connection in charlotte for lganot good"
"11347","we did it added about seven hours to our day so far want to take odds on our bags being on the carousel in kc"
"11348","she missed her uncles funeral and you hope they can find another flight thats very considerate of you"
"11349","my last flight was cancelled flightled and im very disappointed"
"11350","just lost a faithful customer"
"11351","i havetimes and no one has been able to help me out"
"11352","marsha m at myrtle beach is the greatest she deserves all the respect and praise there is"
"11353","seriously attendants go awol forminsnow flight further delayeddont lite a match either"
"11354","joined silver preferred because i heard customer service was so great pity i was misguided"
"11355","it is just bad practice and i am disappointed that your airline was not preparedhonestly the last time i fly with you guys"
"11356","well this is about as worthless as your regular servicea bunch of do nothings and idiots"
"11357","these changes as well to late flightr find out that the flight i was scheduled for isnt ready"
"11358","aftercancelled flightlations and a delay causing me to miss connecting flight another night not being home thanks"
"11359","thats understandable my issue is with creating a new flight without the personnel to do iti changed my plans to accommodate"
"11360","thanks now i just need to locate where my luggage is"
"11361","we havent departed yet so lets not get too high hopesbut everything has been on schedule so far"
"11362","thanks for showing interestto greenville sc"
"11363","your app sucks balls compared to"
"11364","so my flight was late flight getting into charlotte so i miss my connector to phoenix thanks again last time i ever fly usair"
"11365","thanks suggestion stop the promo messages after a bit and just run music amp a msg that says call volume is high"
"11366","admirals club at clt has rude and ignorant front desk staffyou have fallen so farthanks doug parker"
"11367","to clt from jfk nasty planes dirty seats amp floors rude flight attendants hopefully aa can get you cleaned up"
"11368","i paid for my ticket on on the th and it still says pending is that normal i just want the money out of my account"
"11369","ok thank you we were told ground delay due to snow"
"11370","this made me have to cancelled flight my car reservation and it came out to more moneywhy did you reschedule a time without the crew"
"11371","my flight was cancelled flightled yesterday and moved to today then while at my stop in dc my flight is delayed due to lack of crew"
"11372","looking forward to some friends and family time in arizona"
"11373","no they donti think i already said thatno one respondsits an auto responsewait is this an auto response"
"11374","first class all the wayˇí‚úàÔè headed to"
"11375","started trying to reach a real person over an hour ago still no luck"
"11376","my wife in boston says no snow right now"
"11377","i tried to call your customer service line only to be kept in a que for overmins please hold we dont care"
"11378","you see now that is a liethey auto respond with insulting email"
"11379","your pple did a great job w the madness however some of your systems need help i appreciate the hard work amp the push to b better"
"11380","thanks for giving away my seat another fine job"
"11381","how can i be stuck on a plane due to snow in boston when its not actually snowing in bostonusair flight"
"11382","ive been waiting for desk forand on hold min and countingphoto of desk agent on phone not flattering"
"11383","thanks"
"11384","you have cancelled flighted our flightstimes over the pastdaysand the experience has been the worstnever again"
"11385","thanks to betty working gate at ilm and lovely gate agents here in clt helping me get homephx tonight instead of tomorrow"
"11386","i have a flight in saturday from mci to clt and theres heavy snow predicted in mci when will u allow for changes"
"11387","i realize the weather but day after day our flights keep getting cancelled flighted please prioritize ur passengers and help them"
"11388","how does that help me when i get no response from there"
"11389","team is back home but luggage all wet and partly damagednot happy"
"11390","surprisingly quick response time by you and them thanks"
"11391","stop cancelled flighting flights over and over and not provide any real help to your customers"
"11392","strikes againlost bags and two of them"
"11393","hadcancelled flight my trip to la bc weather was easy but us air is making me pay to use the credit never again"
"11394","whats the point of a baggage claim ticket if they dont scan itfor tracking"
"11395","no access to dividend miles and for a week the automated phone keeps telling me to call back late flightr"
"11396","you cant even track my bag to see where it is its like its disappeared"
"11397","cant get ahold of anyone to speak to about missing miles its been over a month since travel amp ive submitted twice online"
"11398","i been sitting on this plane forminutes and they are saying anotherminutes something about paper work this sucks"
"11399","is there gonna be a better day to call ive called onseparate occasions the past couple of weeks and never get to a person"
"11400","i spent more on the room amp transportation then i did the whole flight"
"11401","i ask for reimbursement maybe miles added to my account for my inconvenience and for the money that i had to spend"
"11402","i asked for some reimbursement something like miles added to my account and was told to call customer service"
"11403","only to come home a day late flight to find out you guys have lost my luggage"
"11404","doubt it gate x is a cluster and every agent encounter i saw including one with me was outright rude just very put off"
"11405","i have to spend more than the cost of the flight just to get a free room and transportation to and from the airport"
"11406","the voucher you give us for a hotel is useless you call the number they say no rooms available what do you expect me to do"
"11407","so mad i cant even believeyou guys cancelled flight my connecting flight after i leave the first stop amp give me a useless hotel voucher"
"11408","priorities should have been made considering a pending snow storm why delay a flight for an hour amp a half id like an answer"
"11409","i experienced what defines customer service ona flight attendant willing to follow up with a passenger on bag charges"
"11410","ive done everything still no luck in finding my bag i dont understand how my bag could have been misplaced very upsetting"
"11411","that wasn‚Äôt my q but thanks wondering why you‚Äôre the only ones i disguised yours to not call you out"
"11412","turns into with such difficulty to past loyal customer as a aa platinum flyer usair couldnt be more unhelpful why"
"11413","yes but i will nvr fly w i missed my con flight bc of a coffeemaker on couldnt see my father be they put him in a coma"
"11414","minutes to put my tsa number in‚Ämins‚Ä and stop holding people hostage with requiring a dividends miles acct"
"11415","so i would have to go though the entire process again just to get you people on the phone"
"11416","really so what does that mean"
"11417","thankscan you help remind the agents its okps heard rumors of a streaming wifi tvmovie service you might be installing"
"11418","nope done was supposed to get home at pm and didnt get home until midnight"
"11419","the only way to assist is to actually answer the phone"
"11420","would it kill you to give meseconds of bad muzak instead of constant commercials while on hold"
"11421","would it kill you to let me put my tsaprecheck number on my reservation"
"11422","would it kill you to not let miles expire"
"11423","would it kill you to let me know how many minutes i might be on hold"
"11424","atotaled not happy not at all"
"11425","i have sent letter after letter and get back nothing but form letters and half baked replys"
"11426","the least comforting thing from your pilot after sitting on a stationary plane forhours is i dont really know what happened"
"11427","thanks"
"11428","my number iscant waitlol"
"11429","have him call mei cant wait to see if anything happensyour service really sucks"
"11430","she also appreciated having her very own hashtag"
"11431","we hate delays have you tried any of thesealthough were not sure what a timbit is"
"11432","big fail on not having curbside baggage in pittsburgh and you chargedollars a bag"
"11433","is it possible to earn dividend miles for a passenger that is not me even if i am purchasing the tickets"
"11434","i hope so too thank you for your help she traveled halfway across the globe and just wants her suitcase"
"11435","would you consider honoring the original fare price if i were to try flight booking problems the ticket again"
"11436","booked an award ticket recently now same ticket is less miles how do i contact you without using the online form or phone"
"11437","you are the best follow me pleaseˇôèˇôèˇôè‚úúÔè‚úúÔè‚úúÔèˇôèˇôèˇôè"
"11438","would be more pleased if you reassess your business practicesgoal should be to have passengers on plane as little as possible"
"11439","thats ok just know that ill most likely never book with you again"
"11440","i followed you complaint procedure only to get a run aroundyour service sucks"
"11441","i dont mind waiting i mind waiting on a plane when i shouldnt have had tothe airport has more room and you know food"
"11442","that is appreciatedhowever the system tells you call back late flightr then ends the callno need to reply thanks"
"11443","why would you board ppl on a plane b its their turn to deice why would you have ppl then wait through the hour long process"
"11444","i tried that before using twitter also gave me no helpful information thank you anyway"
"11445","i am sure you are sincere in your apology its disappointing from a customer perspective when you want loyal customers"
"11446","yeah i know thatbut now ill have to spend almost dollars more on my ticket since the price has gone up over the week"
"11447","yeah either by refunding my money orfree round trips to compensate for all the trouble we were put through"
"11448","are you an incompetent airline every day or just days that end in y"
"11449","there isnt a ticket numberthe transaction is still pending"
"11450","do families no longer get early boarding with young kidsamerican your new parent gives it to us"
"11451","not patientoriginallyand now"
"11452","your agent did not say"
"11453","no they could be at laguardia jfk or charlotte i have no idea where they are now tho"
"11454","they said because there was no meal on my flight they would notwhat airline serves food anymore update in policy"
"11455","it is the nd person when i called again to ask could not catch her name rejected the request"
"11456","must be nice to take your customer service phone off the hook"
"11457","that link is broken but if its the online baggage locator i already tried it and it gave me no useful information"
"11458","spoke on the phoneortimes but no resolution im still waiting to get my money back but now prices are jacked up"
"11459","thanks for reaching out to memy gold div nomy flights were changed under confirmationdnxv"
"11460","stranded in philly and cant get a meal voucher even though your plane had mechanical issuenext flight inhrs"
"11461","on hold for an hourconnected to the wrong department by your automated systemtransferred and now anothermin amp counting"
"11462","yes and our flight attendant who is wonderful btw secured the tray table so its not flailing about"
"11463","link doesnt work and ive tried tracking my bag several times still doesnt clarify where it is"
"11464","thanks for seating me next tohot athletes this flight is significantly better now"
"11465","thank you on our way to get her bag nowthanks to having that number ˇòö"
"11466","how do you give stand by seats to ticketed passengers who you know have a connecting flight"
"11467","would you guys please send service agents to gate b in phillyall the people missed there connections and theres only"
"11468","spendhour on hold with"
"11469","why would a flight arrive late flight or leave whenof your passengers havea connection"
"11470","lasttimes i checked a bags they were severally damagedno one answers the baggage call line for status"
"11471","this is crazy havent spoken to a human yet there has to be a better way"
"11472","can i get assistance on flightplane just landed from hpn and i have a connection to atl"
"11473","you got me homehours after you were supposed to i was living in an airport you offered no monetary assistance"
"11474","ive been trying for daysand i dont get hung up on until after i get through all the promptswhat am i to do"
"11475","why not have an option for a call back im just sitting here burning through my minutes waiting for an error to be fixed"
"11476","days andhours on hold the other day charge me double for flights and cant even fix it worst service ive ever had"
"11477","ive been trying to call you for days and every time the system is overloaded and disconnects reallya global companyhelp"
"11478","also we are in family crisis amp you charge full price for all these flights pluschange flights even for emergencies"
